NPI,Doctor_Name,Specialty,Territory_ID,Prescriber_Decile,Is_KOL,Affiliated_Hospital_System
NPI_1000000293,Dr. Provider_293,Cardiologist,TER_SO_01,1,0,HealthSystem_7
NPI_1000000294,Dr. Provider_294,Cardiologist,TER_WE_01,2,0,HealthSystem_15
NPI_1000000295,Dr. Provider_295,Cardiologist,TER_WE_01,5,1,HealthSystem_3
NPI_1000000296,Dr. Provider_296,Internal Medicine,TER_NE_01,8,0,HealthSystem_9
NPI_1000000297,Dr. Provider_297,Rheumatologist,TER_WE_02,9,0,HealthSystem_15
NPI_1000000298,Dr. Provider_298,Internal Medicine,TER_WE_01,5,0,HealthSystem_6
NPI_1000000299,Dr. Provider_299,Internal Medicine,TER_NE_02,3,0,HealthSystem_10
NPI_1000000300,Dr. Provider_300,Endocrinologist,TER_NE_02,1,0,HealthSystem_13
NPI_1000000301,Dr. Provider_301,Endocrinologist,TER_MW_01,2,1,HealthSystem_4
NPI_1000000302,Dr. Provider_302,Rheumatologist,TER_SO_01,6,0,HealthSystem_19
NPI_1000000303,Dr. Provider_303,Cardiologist,TER_SO_02,5,0,HealthSystem_9
NPI_1000000304,Dr. Provider_304,Endocrinologist,TER_MW_02,1,0,HealthSystem_15
NPI_1000000305,Dr. Provider_305,Cardiologist,TER_MW_02,1,1,HealthSystem_5
NPI_1000000306,Dr. Provider_306,Cardiologist,TER_MW_02,6,0,HealthSystem_18
NPI_1000000307,Dr. Provider_307,Internal Medicine,TER_WE_02,4,0,HealthSystem_2
NPI_1000000308,Dr. Provider_308,Endocrinologist,TER_NE_02,4,0,HealthSystem_7
NPI_1000000309,Dr. Provider_309,Cardiologist,TER_MW_01,2,0,HealthSystem_3
NPI_1000000310,Dr. Provider_310,Rheumatologist,TER_WE_02,7,0,HealthSystem_8
NPI_1000000311,Dr. Provider_311,Endocrinologist,TER_SO_02,1,0,HealthSystem_14
NPI_1000000312,Dr. Provider_312,Endocrinologist,TER_SO_01,7,0,HealthSystem_15
NPI_1000000313,Dr. Provider_313,Endocrinologist,TER_WE_01,2,0,HealthSystem_6
NPI_1000000314,Dr. Provider_314,Rheumatologist,TER_NE_01,9,0,HealthSystem_5
NPI_1000000315,Dr. Provider_315,Cardiologist,TER_NE_01,6,0,HealthSystem_13
NPI_1000000316,Dr. Provider_316,Cardiologist,TER_WE_01,2,0,HealthSystem_14
NPI_1000000317,Dr. Provider_317,Cardiologist,TER_SO_01,2,0,HealthSystem_1
NPI_1000000318,Dr. Provider_318,Endocrinologist,TER_WE_02,4,0,HealthSystem_11
NPI_1000000319,Dr. Provider_319,Rheumatologist,TER_SO_01,4,0,HealthSystem_12
NPI_1000000320,Dr. Provider_320,Endocrinologist,TER_WE_01,7,0,HealthSystem_18
NPI_1000000321,Dr. Provider_321,Oncologist,TER_NE_01,4,1,HealthSystem_1
NPI_1000000322,Dr. Provider_322,Cardiologist,TER_SO_02,1,0,HealthSystem_1
NPI_1000000323,Dr. Provider_323,Endocrinologist,TER_SO_02,5,0,HealthSystem_18
NPI_1000000324,Dr. Provider_324,Oncologist,TER_MW_01,1,0,HealthSystem_7
NPI_1000000325,Dr. Provider_325,Endocrinologist,TER_WE_01,3,0,HealthSystem_6
NPI_1000000326,Dr. Provider_326,Cardiologist,TER_WE_02,1,0,HealthSystem_18
NPI_1000000327,Dr. Provider_327,Cardiologist,TER_WE_01,1,0,HealthSystem_8
NPI_1000000328,Dr. Provider_328,Cardiologist,TER_SO_02,7,0,HealthSystem_2
NPI_1000000329,Dr. Provider_329,Rheumatologist,TER_WE_01,9,0,HealthSystem_18
NPI_1000000330,Dr. Provider_330,Cardiologist,TER_NE_02,7,0,HealthSystem_12
NPI_1000000331,Dr. Provider_331,Cardiologist,TER_NE_01,5,0,HealthSystem_19
NPI_1000000332,Dr. Provider_332,Internal Medicine,TER_SO_02,3,0,HealthSystem_2
NPI_1000000333,Dr. Provider_333,Oncologist,TER_SO_02,2,0,HealthSystem_16
NPI_1000000334,Dr. Provider_334,Rheumatologist,TER_SO_01,4,0,HealthSystem_4
NPI_1000000335,Dr. Provider_335,Rheumatologist,TER_SO_02,2,0,HealthSystem_6
NPI_1000000336,Dr. Provider_336,Internal Medicine,TER_SO_01,6,0,HealthSystem_11
NPI_1000000337,Dr. Provider_337,Endocrinologist,TER_SO_02,4,0,HealthSystem_15
NPI_1000000338,Dr. Provider_338,Rheumatologist,TER_NE_02,3,0,HealthSystem_1
NPI_1000000339,Dr. Provider_339,Cardiologist,TER_NE_01,3,0,HealthSystem_11
NPI_1000000340,Dr. Provider_340,Rheumatologist,TER_SO_02,4,0,HealthSystem_9
NPI_1000000341,Dr. Provider_341,Endocrinologist,TER_NE_02,9,0,HealthSystem_12
NPI_1000000342,Dr. Provider_342,Cardiologist,TER_WE_02,4,0,HealthSystem_15
NPI_1000000343,Dr. Provider_343,Endocrinologist,TER_WE_01,6,0,HealthSystem_11
NPI_1000000344,Dr. Provider_344,Cardiologist,TER_WE_01,3,0,HealthSystem_15
NPI_1000000345,Dr. Provider_345,Cardiologist,TER_MW_01,3,0,HealthSystem_13
NPI_1000000346,Dr. Provider_346,Endocrinologist,TER_NE_02,1,0,HealthSystem_14
NPI_1000000347,Dr. Provider_347,Cardiologist,TER_WE_01,4,0,HealthSystem_10
NPI_1000000348,Dr. Provider_348,Rheumatologist,TER_NE_02,3,1,HealthSystem_11
NPI_1000000349,Dr. Provider_349,Cardiologist,TER_MW_02,1,0,HealthSystem_7
NPI_1000000350,Dr. Provider_350,Cardiologist,TER_NE_01,4,0,HealthSystem_4
NPI_1000000351,Dr. Provider_351,Endocrinologist,TER_SO_02,6,0,HealthSystem_13
NPI_1000000352,Dr. Provider_352,Rheumatologist,TER_MW_01,1,0,HealthSystem_9
NPI_1000000353,Dr. Provider_353,Rheumatologist,TER_WE_01,4,0,HealthSystem_10
NPI_1000000354,Dr. Provider_354,Internal Medicine,TER_WE_02,4,0,HealthSystem_4
NPI_1000000355,Dr. Provider_355,Cardiologist,TER_MW_01,7,0,HealthSystem_18
NPI_1000000356,Dr. Provider_356,Rheumatologist,TER_NE_02,3,0,HealthSystem_15
NPI_1000000357,Dr. Provider_357,Cardiologist,TER_MW_02,7,0,HealthSystem_17
NPI_1000000358,Dr. Provider_358,Cardiologist,TER_SO_01,4,0,HealthSystem_11
NPI_1000000359,Dr. Provider_359,Cardiologist,TER_SO_02,4,0,HealthSystem_2
NPI_1000000360,Dr. Provider_360,Cardiologist,TER_WE_01,5,0,HealthSystem_7
NPI_1000000361,Dr. Provider_361,Rheumatologist,TER_MW_01,10,0,HealthSystem_19
NPI_1000000362,Dr. Provider_362,Rheumatologist,TER_SO_02,4,0,HealthSystem_14
NPI_1000000363,Dr. Provider_363,Cardiologist,TER_SO_01,8,0,HealthSystem_8
NPI_1000000364,Dr. Provider_364,Endocrinologist,TER_SO_02,2,0,HealthSystem_17
NPI_1000000365,Dr. Provider_365,Internal Medicine,TER_MW_02,6,0,HealthSystem_8
NPI_1000000366,Dr. Provider_366,Internal Medicine,TER_NE_02,5,0,HealthSystem_3
NPI_1000000367,Dr. Provider_367,Cardiologist,TER_NE_02,10,0,HealthSystem_17
NPI_1000000368,Dr. Provider_368,Oncologist,TER_WE_01,3,0,HealthSystem_12
NPI_1000000369,Dr. Provider_369,Cardiologist,TER_SO_01,1,0,HealthSystem_16
NPI_1000000370,Dr. Provider_370,Endocrinologist,TER_SO_02,3,0,HealthSystem_17
NPI_1000000371,Dr. Provider_371,Cardiologist,TER_WE_02,6,1,HealthSystem_13
NPI_1000000372,Dr. Provider_372,Cardiologist,TER_MW_01,1,1,HealthSystem_8
NPI_1000000373,Dr. Provider_373,Rheumatologist,TER_NE_01,7,0,HealthSystem_6
NPI_1000000374,Dr. Provider_374,Cardiologist,TER_WE_02,6,0,HealthSystem_16
NPI_1000000375,Dr. Provider_375,Endocrinologist,TER_MW_02,5,0,HealthSystem_1
NPI_1000000376,Dr. Provider_376,Cardiologist,TER_SO_01,2,0,HealthSystem_9
NPI_1000000377,Dr. Provider_377,Endocrinologist,TER_MW_01,3,0,HealthSystem_4
NPI_1000000378,Dr. Provider_378,Internal Medicine,TER_SO_02,8,0,HealthSystem_5
NPI_1000000379,Dr. Provider_379,Endocrinologist,TER_MW_02,8,0,HealthSystem_18
NPI_1000000380,Dr. Provider_380,Rheumatologist,TER_SO_02,7,0,HealthSystem_6
NPI_1000000381,Dr. Provider_381,Cardiologist,TER_WE_01,2,0,HealthSystem_3
NPI_1000000382,Dr. Provider_382,Cardiologist,TER_NE_02,2,1,HealthSystem_18
NPI_1000000383,Dr. Provider_383,Rheumatologist,TER_NE_01,4,0,HealthSystem_1
NPI_1000000384,Dr. Provider_384,Internal Medicine,TER_SO_02,1,0,HealthSystem_14
NPI_1000000385,Dr. Provider_385,Cardiologist,TER_MW_01,9,0,HealthSystem_13
NPI_1000000386,Dr. Provider_386,Endocrinologist,TER_WE_02,3,0,HealthSystem_15
NPI_1000000387,Dr. Provider_387,Oncologist,TER_MW_02,6,0,HealthSystem_13
NPI_1000000388,Dr. Provider_388,Internal Medicine,TER_MW_02,3,0,HealthSystem_6
NPI_1000000389,Dr. Provider_389,Cardiologist,TER_MW_01,4,0,HealthSystem_19
NPI_1000000390,Dr. Provider_390,Endocrinologist,TER_SO_01,6,0,HealthSystem_2
NPI_1000000391,Dr. Provider_391,Endocrinologist,TER_NE_02,1,0,HealthSystem_9
NPI_1000000392,Dr. Provider_392,Endocrinologist,TER_NE_01,1,0,HealthSystem_14
NPI_1000000393,Dr. Provider_393,Cardiologist,TER_WE_02,5,0,HealthSystem_4
NPI_1000000394,Dr. Provider_394,Oncologist,TER_NE_01,2,0,HealthSystem_4
NPI_1000000395,Dr. Provider_395,Endocrinologist,TER_WE_01,5,0,HealthSystem_3
NPI_1000000396,Dr. Provider_396,Endocrinologist,TER_MW_02,3,0,HealthSystem_5
NPI_1000000397,Dr. Provider_397,Cardiologist,TER_NE_02,1,0,HealthSystem_6
NPI_1000000398,Dr. Provider_398,Cardiologist,TER_NE_02,5,0,HealthSystem_5
NPI_1000000399,Dr. Provider_399,Cardiologist,TER_SO_01,7,0,HealthSystem_18
NPI_1000000400,Dr. Provider_400,Cardiologist,TER_WE_02,3,0,HealthSystem_11
